week,date
1,7-Jan-17
2,14-Jan-17
3,21-Jan-17
4,28-Jan-17
5,4-Feb-17
6,11-Feb-17
7,18-Feb-17
8,25-Feb-17
9,4-Mar-17
10,11-Mar-17
11,18-Mar-17
12,25-Mar-17
13,1-Apr-17
14,8-Apr-17
15,15-Apr-17
16,22-Apr-17
17,29-Apr-17
18,6-May-17
19,13-May-17
20,20-May-17
21,27-May-17
22,3-Jun-17
23,10-Jun-17
24,17-Jun-17
25,24-Jun-17
26,1-Jul-17
27,8-Jul-17
28,15-Jul-17
29,22-Jul-17
30,29-Jul-17
31,5-Aug-17
32,12-Aug-17
33,19-Aug-17
34,26-Aug-17
35,2-Sep-17
36,9-Sep-17
37,16-Sep-17
38,23-Sep-17
39,30-Sep-17
40,7-Oct-17
41,14-Oct-17
42,21-Oct-17
43,28-Oct-17
44,4-Nov-17
45,11-Nov-17
46,18-Nov-17
47,25-Nov-17
48,2-Dec-17
49,9-Dec-17
50,16-Dec-17
51,23-Dec-17
52,30-Dec-17
53,6-Jan-18
54,13-Jan-18
55,20-Jan-18
56,27-Jan-18
57,3-Feb-18
58,10-Feb-18
59,17-Feb-18
60,24-Feb-18
61,3-Mar-18
62,10-Mar-18
63,17-Mar-18
64,24-Mar-18
65,31-Mar-18
66,7-Apr-18
67,14-Apr-18
68,21-Apr-18
69,28-Apr-18
70,5-May-18
71,12-May-18
72,19-May-18
73,26-May-18
74,2-Jun-18
75,9-Jun-18
76,16-Jun-18
77,23-Jun-18
78,30-Jun-18
79,7-Jul-18
80,14-Jul-18
81,21-Jul-18
82,28-Jul-18
83,4-Aug-18
84,11-Aug-18
85,18-Aug-18
86,25-Aug-18
87,1-Sep-18
88,8-Sep-18
89,15-Sep-18
90,22-Sep-18
91,29-Sep-18
92,6-Oct-18
93,13-Oct-18
94,20-Oct-18
95,27-Oct-18
96,3-Nov-18
97,10-Nov-18
98,17-Nov-18
99,24-Nov-18
100,1-Dec-18
101,8-Dec-18
102,15-Dec-18
103,22-Dec-18
104,29-Dec-18
105,5-Jan-19
106,12-Jan-19
107,19-Jan-19
108,26-Jan-19
109,2-Feb-19
110,9-Feb-19
111,16-Feb-19
112,23-Feb-19
113,2-Mar-19
114,9-Mar-19
115,16-Mar-19
116,23-Mar-19
117,30-Mar-19
118,6-Apr-19
119,13-Apr-19
120,20-Apr-19
121,27-Apr-19
122,4-May-19
123,11-May-19
124,18-May-19
125,25-May-19
126,1-Jun-19
127,8-Jun-19
128,15-Jun-19
129,22-Jun-19
130,29-Jun-19
131,6-Jul-19
132,13-Jul-19
133,20-Jul-19
134,27-Jul-19
135,3-Aug-19
136,10-Aug-19
137,17-Aug-19
138,24-Aug-19
139,31-Aug-19
140,7-Sep-19
141,14-Sep-19
142,21-Sep-19
143,28-Sep-19
144,5-Oct-19
145,12-Oct-19
146,19-Oct-19
147,26-Oct-19
148,2-Nov-19
149,9-Nov-19
150,16-Nov-19
151,23-Nov-19
152,30-Nov-19
153,7-Dec-19
154,14-Dec-19
155,21-Dec-19
156,28-Dec-19
157,4-Jan-20
158,11-Jan-20
159,18-Jan-20
160,25-Jan-20
161,1-Feb-20
162,8-Feb-20
163,15-Feb-20
164,22-Feb-20
165,29-Feb-20
166,7-Mar-20
167,14-Mar-20
168,21-Mar-20
169,28-Mar-20
170,4-Apr-20
171,11-Apr-20
172,18-Apr-20
173,25-Apr-20
174,2-May-20
175,9-May-20
176,16-May-20
177,23-May-20
178,30-May-20
179,6-Jun-20
180,13-Jun-20
181,20-Jun-20
182,27-Jun-20
183,4-Jul-20
184,11-Jul-20
185,18-Jul-20
186,25-Jul-20
187,1-Aug-20
188,8-Aug-20
189,15-Aug-20
190,22-Aug-20
191,29-Aug-20
192,5-Sep-20
193,12-Sep-20
194,19-Sep-20
195,26-Sep-20
196,3-Oct-20
197,10-Oct-20
198,17-Oct-20
199,24-Oct-20
200,31-Oct-20
201,7-Nov-20
202,14-Nov-20
203,21-Nov-20
204,28-Nov-20
205,5-Dec-20
206,12-Dec-20
207,19-Dec-20
208,26-Dec-20
209,2-Jan-21
210,9-Jan-21
211,16-Jan-21
212,23-Jan-21
213,30-Jan-21
214,6-Feb-21
215,13-Feb-21
216,20-Feb-21
217,27-Feb-21
218,6-Mar-21
219,13-Mar-21
220,20-Mar-21
221,27-Mar-21
222,3-Apr-21
223,10-Apr-21
224,17-Apr-21
225,24-Apr-21
226,1-May-21
227,8-May-21
228,15-May-21
229,22-May-21
230,29-May-21
231,5-Jun-21
232,12-Jun-21
233,19-Jun-21
234,26-Jun-21
235,3-Jul-21
236,10-Jul-21
237,17-Jul-21
238,24-Jul-21
239,31-Jul-21
240,7-Aug-21
241,14-Aug-21
242,21-Aug-21
243,28-Aug-21
244,4-Sep-21
245,11-Sep-21
246,18-Sep-21
247,25-Sep-21
248,2-Oct-21
249,9-Oct-21
250,16-Oct-21
251,23-Oct-21
252,30-Oct-21
253,6-Nov-21
254,13-Nov-21
255,20-Nov-21
256,27-Nov-21
257,4-Dec-21
258,11-Dec-21
259,18-Dec-21
260,25-Dec-21
261,1-Jan-22
262,8-Jan-22
263,15-Jan-22
264,22-Jan-22
265,29-Jan-22
266,5-Feb-22
267,12-Feb-22
268,19-Feb-22
269,26-Feb-22
270,5-Mar-22
271,12-Mar-22
272,19-Mar-22
273,26-Mar-22
274,2-Apr-22
275,9-Apr-22
276,16-Apr-22
277,23-Apr-22
278,30-Apr-22
279,7-May-22
280,14-May-22
281,21-May-22
282,28-May-22
283,4-Jun-22
284,11-Jun-22
285,18-Jun-22
286,25-Jun-22
287,2-Jul-22
288,9-Jul-22
289,16-Jul-22
290,23-Jul-22
291,30-Jul-22
292,6-Aug-22
293,13-Aug-22
294,20-Aug-22
295,27-Aug-22
296,3-Sep-22
297,10-Sep-22
298,17-Sep-22
299,24-Sep-22
